Driver,GridPosition,Year,Stint,EventName,LapNumber,LapTime_in_sec,Sector1Time_in_sec,Sector2Time_in_sec,Sector3Time_in_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TrackTemp,Humidity,Pressure,WindDirection,WindSpeed,nGear,Throttle,DRS,encodedCompound,encodedDriver,encodedEventName
ALB,12.0,2024,1.0,Australian Grand Prix,6,88.18483333333333,29.403200000000002,18.220333333333333,39.002833333333335,271.3333333333333,320.0,302.6,288.2,MEDIUM,37.0,49.0,1021.6,306,0.4,8,100,14,3,0,0
ALB,12.0,2024,1.0,Saudi Arabian Grand Prix,7,102.27114285714286,37.34916666666667,31.964285714285715,32.29542857142857,259.25,288.85714285714283,306.5,314.2857142857143,MEDIUM,33.6,67.0,1012.0,342,2.6,8,100,14,3,0,14
ALB,12.0,2024,2.0,Australian Grand Prix,21,85.22995238095238,29.45947619047619,18.66342857142857,37.10704761904762,265.6,299.9047619047619,285.1,294.36842105263156,HARD,37.0,49.0,1021.6,306,0.4,8,100,14,0,0,0
ALB,12.0,2024,2.0,Saudi Arabian Grand Prix,43,96.08919047619047,36.57281395348837,30.69920930232558,30.768186046511627,281.13793103448273,307.3255813953488,303.13953488372096,315.0232558139535,HARD,33.6,67.0,1012.0,342,2.6,8,100,14,0,0,14
ALB,12.0,2024,3.0,Australian Grand Prix,30,83.76379999999999,29.3091,18.496366666666667,35.958333333333336,272.4166666666667,304.06666666666666,289.43333333333334,299.9130434782609,HARD,37.0,49.0,1021.6,306,0.4,8,100,14,0,0,0
ALB,13.0,2024,1.0,Bahrain Grand Prix,15,99.24680000000001,31.376928571428568,43.061933333333336,24.532866666666667,227.92307692307693,245.2,280.35714285714283,298.5,SOFT,26.5,46.0,1017.1,162,0.9,8,100,14,4,0,2
ALB,13.0,2024,1.0,Hungarian Grand Prix,6,87.73899999999999,30.394199999999998,31.841,24.542166666666667,258.6666666666667,232.33333333333334,248.2,285.6666666666667,SOFT,43.7,51.0,982.0,333,1.0,8,100,14,4,0,9
ALB,13.0,2024,2.0,Bahrain Grand Prix,21,99.08761904761904,32.21247619047619,42.618428571428566,24.25671428571429,230.94117647058823,253.33333333333334,283.15,302.10526315789474,HARD,26.5,46.0,1017.1,162,0.9,8,100,14,0,0,2
ALB,13.0,2024,2.0,Hungarian Grand Prix,23,86.24591304347825,31.238,30.79208695652174,24.215826086956522,270.5,234.30434782608697,244.8181818181818,294.5,HARD,43.7,51.0,982.0,333,1.0,8,100,14,0,0,9
ALB,13.0,2024,3.0,Bahrain Grand Prix,20,97.3543,31.88405,41.77735,23.692899999999998,235.46153846153845,260.7,280.6,295.57894736842104,HARD,26.5,46.0,1017.1,162,0.9,8,100,14,0,0,2
ALB,13.0,2024,3.0,Hungarian Grand Prix,40,85.21669999999999,30.89725,30.38645,23.933,270.94594594594594,235.0,245.85,289.0869565217391,HARD,43.7,51.0,982.0,333,1.0,8,100,14,0,0,9
ALB,14.0,2023,1.0,Mexico Grand Prix,33,86.64533333333333,30.160093749999998,34.02060606060606,22.31309090909091,276.258064516129,277.3636363636364,243.625,331.1034482758621,HARD,47.3,31.0,781.2,278,1.0,8,100,14,0,0,11
ALB,14.0,2023,2.0,Mexico Grand Prix,1,,57.986,44.37700000000001,48.787,169.0,206.0,,178.0,MEDIUM,47.3,31.0,781.2,278,1.0,8,100,14,3,0,11
ALB,14.0,2023,3.0,Mexico Grand Prix,37,84.71991666666668,30.29863888888889,32.860972972972974,22.372513513513514,287.5833333333333,281.64864864864865,242.6216216216216,329.4642857142857,MEDIUM,47.3,31.0,781.2,278,1.0,8,100,14,3,0,11
ALB,14.0,2024,1.0,Chinese Grand Prix,9,104.55311111111111,27.458125,31.50711111111111,45.11544444444444,268.1111111111111,266.3333333333333,257.125,326.3333333333333,MEDIUM,32.2,65.0,1011.9,149,1.0,8,100,14,3,0,6
